path	orig_w	orig_h	new_w	new_h	scale
hejour/cover.webp	2400	1260	1600	840	0.6666
notion/icon.webp	1024	1024	1024	1024	1.0000
notion/cover.webp	2400	1250	1600	833	0.6666
ayron-time-tracker/icon.webp	672	672	672	672	1.0000
ayron-time-tracker/cover.webp	3600	1890	1600	840	0.4444
heatscope-ai-ux-attention-heatmaps/icon.webp	520	520	520	520	1.0000
heatscope-ai-ux-attention-heatmaps/cover.webp	1200	630	1200	630	1.0000
noticky/icon.webp	512	512	512	512	1.0000
noticky/cover.webp	1200	630	1200	630	1.0000
resurf/icon.webp	204	204	204	204	1.0000
resurf/cover.webp	2400	1260	1600	840	0.6666
tono/icon.webp	512	512	512	512	1.0000
tono/cover.webp	960	800	960	800	1.0000
agentpeek/icon.webp	102	102	102	102	1.0000
agentpeek/cover.webp	1200	630	1200	630	1.0000
creavit-studio/icon.webp	512	512	512	512	1.0000
creavit-studio/cover.webp	1200	630	1200	630	1.0000
autoshelf/icon.webp	128	128	128	128	1.0000
autoshelf/cover.webp	1200	630	1200	630	1.0000
pixelcasso/icon.webp	192	192	192	192	1.0000
pixelcasso/cover.webp	1200	630	1200	630	1.0000
spacepeek/icon.webp	512	512	512	512	1.0000
spacepeek/cover.webp	1280	800	1280	800	1.0000
codeshot/icon.webp	1024	1024	1024	1024	1.0000
codeshot/cover.webp	1680	900	1600	857	0.9523
fantastical/icon.webp	102	102	102	102	1.0000
fantastical/cover.webp	1200	628	1200	628	1.0000
dropzone/cover.webp	1800	945	1600	840	0.8888
dropzone/icon.webp	204	204	204	204	1.0000
inkline-text-editor/icon.webp	512	512	512	512	1.0000
inkline-text-editor/shot-3.webp	2880	1800	1600	1000	0.5555
inkline-text-editor/shot-2.webp	2880	1800	1600	1000	0.5555
inkline-text-editor/shot-1.webp	2880	1800	1600	1000	0.5555
inkline-text-editor/shot-5.webp	2880	1800	1600	1000	0.5555
inkline-text-editor/shot-4.webp	2880	1800	1600	1000	0.5555
inkline-text-editor/shot-6.webp	2880	1800	1600	1000	0.5555
inkline-text-editor/cover.webp	1200	630	1200	630	1.0000
superlist/icon.webp	513	512	513	512	1.0000
superlist/cover.webp	1200	630	1200	630	1.0000
hilium/icon.webp	180	180	180	180	1.0000
hilium/cover.webp	1200	630	1200	630	1.0000
mailtwin/icon.webp	512	512	512	512	1.0000
mailtwin/cover.webp	1200	630	1200	630	1.0000
raycast/icon.webp	102	102	102	102	1.0000
raycast/cover.webp	2400	1260	1600	840	0.6666
healthynotch/icon.webp	128	128	128	128	1.0000
healthynotch/shot-3.webp	1270	760	1270	760	1.0000
healthynotch/shot-2.webp	1270	760	1270	760	1.0000
healthynotch/shot-1.webp	1270	760	1270	760	1.0000
healthynotch/shot-4.webp	1270	760	1270	760	1.0000
healthynotch/cover.webp	1200	630	1200	630	1.0000
open-timer/icon.webp	584	554	584	554	1.0000
open-timer/cover.webp	1200	630	1200	630	1.0000
toplify/icon.webp	386	386	386	386	1.0000
toplify/cover.webp	1200	630	1200	630	1.0000
pokey/icon.webp	400	400	400	400	1.0000
pokey/cover.webp	1024	630	1024	630	1.0000
satu/icon.webp	512	512	512	512	1.0000
satu/shot-3.webp	1280	800	1280	800	1.0000
satu/shot-2.webp	1280	800	1280	800	1.0000
satu/shot-1.webp	1280	800	1280	800	1.0000
satu/shot-5.webp	1280	800	1280	800	1.0000
satu/shot-4.webp	1280	800	1280	800	1.0000
satu/cover.webp	1280	672	1280	672	1.0000
radial/icon.webp	1024	1024	1024	1024	1.0000
radial/cover.webp	1920	1080	1600	900	0.8333
onlook/icon.webp	102	102	102	102	1.0000
onlook/cover.webp	1200	630	1200	630	1.0000
nox/icon.webp	180	180	180	180	1.0000
nox/cover.webp	2648	1318	1600	796	0.6042
waterlemon/icon.webp	102	102	102	102	1.0000
waterlemon/cover.webp	1200	630	1200	630	1.0000
runey/cover.webp	1920	1008	1600	840	0.8333
runey/icon.webp	1024	1024	1024	1024	1.0000
dia/icon.webp	204	204	204	204	1.0000
dia/cover.webp	1200	630	1200	630	1.0000
open-screen-shot/icon.webp	512	512	512	512	1.0000
open-screen-shot/cover.webp	1200	630	1200	630	1.0000
gatheros/icon.webp	204	204	204	204	1.0000
gatheros/cover.webp	1200	630	1200	630	1.0000
claude-notch-usage-companion/icon.webp	100	64	100	64	1.0000
claude-notch-usage-companion/cover.webp	700	375	700	375	1.0000
glyph/icon.webp	512	512	512	512	1.0000
glyph/cover.webp	2398	1452	1600	969	0.6672
fello-ai/icon.webp	256	256	256	256	1.0000
fello-ai/cover.webp	1200	630	1200	630	1.0000
revone/cover.webp	2400	1260	1600	840	0.6666
revone/icon.webp	1024	1024	1024	1024	1.0000
corner-time/icon.webp	460	460	460	460	1.0000
corner-time/cover.webp	1200	630	1200	630	1.0000
cachesweep/icon.webp	256	256	256	256	1.0000
cachesweep/cover.webp	1200	630	1200	630	1.0000
vocal-notes/icon.webp	1024	1024	1024	1024	1.0000
vocal-notes/cover.webp	2000	1250	1600	1000	0.8000
obsidian/icon.webp	204	204	204	204	1.0000
obsidian/cover.webp	1200	688	1200	688	1.0000
zush/icon.webp	500	500	500	500	1.0000
zush/cover.webp	3600	1890	1600	840	0.4444
presentify/icon.webp	256	256	256	256	1.0000
presentify/cover.webp	1200	630	1200	630	1.0000
hoolo/cover.webp	3098	1998	1600	1032	0.5164
hoolo/icon.webp	512	512	512	512	1.0000
dropadoo/icon.webp	225	225	225	225	1.0000
dropadoo/cover.webp	3274	1854	1600	906	0.4886
glance/icon.webp	1024	1024	1024	1024	1.0000
glance/cover.webp	1680	945	1600	900	0.9523
atlas/icon.webp	400	400	400	400	1.0000
atlas/cover.webp	3904	2472	1600	1013	0.4098
grape/icon.webp	100	100	100	100	1.0000
grape/cover.webp	2400	1260	1600	840	0.6666
hipixel/icon.webp	512	512	512	512	1.0000
hipixel/cover.webp	2400	1260	1600	840	0.6666
droppy/icon.webp	1024	1024	1024	1024	1.0000
droppy/cover.webp	1816	568	1600	500	0.8810
alcove/icon.webp	204	204	204	204	1.0000
alcove/cover.webp	2400	1260	1600	840	0.6666
macrest/cover.webp	1280	720	1280	720	1.0000
macrest/icon.webp	208	208	208	208	1.0000
cleanmymac/icon.webp	384	384	384	384	1.0000
cleanmymac/cover.webp	1200	630	1200	630	1.0000
mole/icon.webp	500	500	500	500	1.0000
mole/cover.webp	1200	630	1200	630	1.0000
drivemosaic/icon.webp	1024	1024	1024	1024	1.0000
drivemosaic/cover.webp	1200	630	1200	630	1.0000
tokens-4-breakfast/icon.webp	1024	1024	1024	1024	1.0000
tokens-4-breakfast/cover.webp	1200	630	1200	630	1.0000
sketch/icon.webp	102	102	102	102	1.0000
sketch/cover.webp	2000	1000	1600	800	0.8000
1password/icon.webp	102	102	102	102	1.0000
1password/cover.webp	1200	630	1200	630	1.0000
pieoneer/icon.webp	204	204	204	204	1.0000
pieoneer/cover.webp	1920	1080	1600	900	0.8333
folder-hub/cover.webp	1200	630	1200	630	1.0000
folder-hub/icon.webp	128	128	128	128	1.0000
canary-mail/icon.webp	204	204	204	204	1.0000
canary-mail/cover.webp	2400	1260	1600	840	0.6666
